Siedlungstyp;URI;PrefLabel_DE;Kategorie;Description_EN
Dorf;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_99977a17;Dorf;Siedlung;Village
Stadt;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_298def13;Stadt (Siedlung);Siedlung;City / Town
Weiler;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_4f0b069b;Weiler;Siedlung;Hamlet
Gehöft;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_a6f2f972;Hof (Landwirtschaft);Siedlung;Farmstead / Homestead
Hofanlage;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_a6f2f972;Hof (Landwirtschaft);Siedlung;Courtyard Estate / Farmstead Complex
Kirche;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_88f23419;Kirchengebäude;Sakralbau;Church Building
Kapelle;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_b979cccb;Kapelle (Bauwerk);Sakralbau;Chapel
Kloster;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_ca47ae79;Kloster (Architektur);Sakralbau;Monastery / Abbey / Convent
Burg;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_f6ad28bc;Burg;Wehrbau;Castle
Schloss;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_a5e37e82;Schloss (Bauwerk);Profanbau;Palace / Chateau / Manor Castle
Festes Haus;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_7c3af4a3;Festes Haus;Wehrbau;Fortified House / Strong House
Festung;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_2c698655;Festung;Wehrbau;Fortress / Citadel
Schanze;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_785ad094;Schanze (Befestigungsanlage);Wehrbau;Redoubt / Entrenchment
Toranlage;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_08229a3a;Toranlage;Wehrbau;Town Gate Complex
Mühle;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_442f5ff5;Mühle (Baukomplex);Gewerbebau;Mill Complex
Wassermühle;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_48b8182b;Wassermühle;Gewerbebau;Watermill
Windmühle;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_f012594d;Windmühle;Gewerbebau;Windmill
Zollhaus;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_b71f7431;Zollhaus;Profanbau;Toll House / Customs House
Gasthof;http://vocabs.bcdh.uni-bonn.de/LVR_Fundansprachen/concept_1eb53716;Gasthof;Profanbau;Inn / Tavern
